symbol,name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
BELFB,Bel Fuse Inc.,29.85,$356.22M,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/belfb
BFIN,BankFinancial Corporation,14.49,$279.24M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/bfin
BFIT,Global X Health & Wellness Thematic ETF,14.55,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bfit
BGCP,"BGC Partners, Inc.",9.93,$2.77B,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/bgcp
BGFV,Big 5 Sporting Goods Corporation,18.35,$401.78M,2002,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/bgfv
BGNE,"BeiGene, Ltd.",30.8,$1.02B,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bgne
BHAC,Barington/Hilco Acquisition Corp.,10.16,$57.52M,2015,Finance,Business Services,http://www.nasdaq.com/symbol/bhac
BHACR,Barington/Hilco Acquisition Corp.,0.19,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/bhacr
BHACU,Barington/Hilco Acquisition Corp.,10.65,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/bhacu
BHACW,Barington/Hilco Acquisition Corp.,0.0771,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/bhacw
BHBK,"Blue Hills Bancorp, Inc.",17.75,$475.37M,2014,Finance,Major Banks,http://www.nasdaq.com/symbol/bhbk
BIB,ProShares Ultra Nasdaq Biotechnology,41.26,$406.41M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bib
BICK,First Trust BICK Index Fund,21.6825,$7.59M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bick
BIDU,"Baidu, Inc.",163.08,$56.57B,2005,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/bidu
BIIB,Biogen Inc.,295.78,$64.35B,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/biib
BIOC,"Biocept, Inc.",0.84,$14.7M,2014,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/bioc
BIOL,"Biolase, Inc.",1.65,$111.48M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/biol
BIOS,"BioScrip, Inc.",1.11,$130.63M,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/bios
BIS,ProShares UltraShort Nasdaq Biotechnology,34.26,$71.43M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bis
BITE,The Restaurant ETF,27.82,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bite
BJRI,"BJ&#39;s Restaurants, Inc.",37.65,$875.67M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/bjri
BKCC,BlackRock Capital Investment Corporation,7.38,$536.35M,2007,n/a,n/a,http://www.nasdaq.com/symbol/bkcc
BKEP,"Blueknight Energy Partners L.P., L.L.C.",6.45,$245.06M,2011,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/bkep
BKEPP,"Blueknight Energy Partners L.P., L.L.C.",7.88,$237.65M,n/a,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/bkepp
BKMU,Bank Mutual Corporation,8.95,$408.76M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/bkmu
BKSC,Bank of South Carolina Corp.,20.75,$102.69M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bksc
BL,"BlackLine, Inc.",26.79,$1.32B,2016,n/a,n/a,http://www.nasdaq.com/symbol/bl
BLBD,Blue Bird Corporation,16.4,$366.28M,2014,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/blbd
BLCM,"Bellicum Pharmaceuticals, Inc.",16.98,$460.25M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/blcm
BLDP,"Ballard Power Systems, Inc.",1.86,$324.97M,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/bldp
BLDR,"Builders FirstSource, Inc.",10.83,$1.21B,2005,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/bldr
BLFS,"BioLife Solutions, Inc.",1.61,$20.73M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/blfs
BLIN          ,"Bridgeline Digital, Inc.",0.63,$11.76M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/blin
BLKB,"Blackbaud, Inc.",60.54,$2.88B,2004,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/blkb
BLMN,"Bloomin&#39; Brands, Inc.",18.85,$1.99B,2012,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/blmn
BLMT,"BSB Bancorp, Inc.",27.15,$247.12M,2011,Finance,Major Banks,http://www.nasdaq.com/symbol/blmt
BLPH,"Bellerophon Therapeutics, Inc.",0.6,$8.74M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/blph
BLRX,BioLineRx Ltd.,1.0055,$56.74M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/blrx
BLUE,"bluebird bio, Inc.",68.65,$2.56B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/blue
BLVD,Boulevard Acquisition Corp. II,9.91,$458.34M,2015,Finance,Business Services,http://www.nasdaq.com/symbol/blvd
BLVDU,Boulevard Acquisition Corp. II,10.19,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/blvdu
BLVDW,Boulevard Acquisition Corp. II,0.49,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/blvdw
BMCH,"BMC Stock Holdings, Inc.",18.6,$1.24B,2013,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/bmch
BMLA,BullMark LatAm Select Leaders ETF,27.1347,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bmla
BMRA,"Biomerica, Inc.",2.21,$18.09M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/bmra
BMRC,Bank of Marin Bancorp,64,$391.88M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bmrc
BMRN,BioMarin Pharmaceutical Inc.,83.33,$14.33B,1999,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bmrn
BMTC,Bryn Mawr Bank Corporation,38.2,$646.09M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bmtc
BNCL,"Beneficial Bancorp, Inc.",17.75,$1.35B,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/bncl
BNCN,BNC Bancorp,30.35,$1.58B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bncn
BNDX,Vanguard Total International Bond ETF,54.14,$5.91B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bndx
BNFT,"Benefitfocus, Inc.",26.3,$782.45M,2013,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bnft
BNSO,"Bonso Electronics International, Inc.",2.45,$12.63M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/bnso
BNTC,Benitec Biopharma Limited,1.6,$14.07M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bntc
